uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
47,0,1372183,0,2010-12-20 | 1372183,2010-12-20T00:00:00,55
15,0,1372689,0,2010-12-20 | 1372689,2010-12-20T00:00:00,15
22,0,1387227,0,2010-12-20 | 1387227,2010-12-20T00:00:00,22
137,0,1387652,0,2010-12-20 | 1387652,2010-12-20T00:00:00,159
35,0,1408406,0,2010-12-20 | 1408406,2010-12-20T00:00:00,40
14,0,1413072,0,2010-12-20 | 1413072,2010-12-20T00:00:00,15
29,0,1473703,0,2010-12-20 | 1473703,2010-12-20T00:00:00,31
15,0,147983,0,2010-12-20 | 147983,2010-12-20T00:00:00,15
67,0,1484786,0,2010-12-20 | 1484786,2010-12-20T00:00:00,78
15,0,149690,0,2010-12-20 | 149690,2010-12-20T00:00:00,15
25,0,1501856,0,2010-12-20 | 1501856,2010-12-20T00:00:00,27
52,0,1503120,0,2010-12-20 | 1503120,2010-12-20T00:00:00,56
19,0,1504602,0,2010-12-20 | 1504602,2010-12-20T00:00:00,19
30,0,1514388,0,2010-12-20 | 1514388,2010-12-20T00:00:00,38
24,0,1568845,0,2010-12-20 | 1568845,2010-12-20T00:00:00,26
75,0,1581762,0,2010-12-20 | 1581762,2010-12-20T00:00:00,86
76,0,1593133,0,2010-12-20 | 1593133,2010-12-20T00:00:00,82
25,0,1596715,0,2010-12-20 | 1596715,2010-12-20T00:00:00,27
46,0,1601896,0,2010-12-20 | 1601896,2010-12-20T00:00:00,56
5,0,1604396,0,2010-12-20 | 1604396,2010-12-20T00:00:00,5
31,0,1616888,0,2010-12-20 | 1616888,2010-12-20T00:00:00,33
42,0,1618095,0,2010-12-20 | 1618095,2010-12-20T00:00:00,44
49,0,1618576,0,2010-12-20 | 1618576,2010-12-20T00:00:00,56
